Reference, Value, Footprint, Datasheet, Manufacturer, Manufacturer Part Number
"U1","LIS3DH","Package_LGA:LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y","lib/datasheets/LIS3DH.pdf","STMicroelectronics","LIS3DHTR"
"J1","Micro_SD_Card","5009010801:5009010801","lib/datasheets/5009010801.pdf","Molex","500901-0801"
"C12","100nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C104M3RAC7210"
"R4","100k","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805FR-07100KL"
"L1","Choke","Inductor_SMD:L_0805_2012Metric","lib/datasheets/LSM01.pdf","Taiyo Yuden","FBMH2012HM331-T"
"U3","MAX98357","Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm_ThermalVias","lib/datasheets/MAX98357.pdf","Analog Devices","MAX98357AETE+T"
"L2","Choke","Inductor_SMD:L_0805_2012Metric","lib/datasheets/LSM01.pdf","Taiyo Yuden","FBMH2012HM331-T"
"C17","220pF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C221M5RACTU"
"LS1","Speaker","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","lib/datasheets/10129379.pdf","Amphenol FCI","10129379-902001BLF"
"C18","220pF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C221M5RACTU"
"C13","22µF","Capacitor_SMD:C_0805_2012Metric","","Murata","GRM21BR61A226ME44L"
"C14","22µF","Capacitor_SMD:C_0805_2012Metric","","Murata","GRM21BR61A226ME44L"
"C11","100nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C104M3RAC7210"
"C7","100nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C104M3RAC7210"
"C8","10µF","Capacitor_SMD:C_0805_2012Metric","","amsung Electro-Mechanics","CL21A106KOQNNNF"
"R2","10k","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805JR-0710KL"
"R1","10k","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805JR-0710KL"
"U2","ATSAMD21G18A-AU","Package_QFP:TQFP-48_7x7mm_P0.5mm","lib/datasheets/ATSAM-D21.pdf","Microchip Technology","ATSAMD21G18A-AU"
"Y1","32.768kHz","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","lib/datasheets/FC-135.pdf","Epson","FC-135 32.7680KA-A5"
"C10","22pF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C220K5HACTU"
"C9","22pF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C220K5HACTU"
"C1","1µF","Capacitor_SMD:C_0805_2012Metric","","amsung Electro-Mechanics","CL21B105KOFNNNG"
"C2","100nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C104M3RAC7210"
"C3","100nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C104M3RAC7210"
"C4","100nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C104M3RAC7210"
"C5","100nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C104M3RAC7210"
"C6","10µF","Capacitor_SMD:C_0805_2012Metric","","amsung Electro-Mechanics","CL21A106KOQNNNF"
"J2","JTAG","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD","lib/datasheets/20021121.pdf","Amphenol FCI","20021121-00010D4LF"
"SW1","Reset","EVQP7:EVQP7","lib/datasheets/EVQ.pdf","Panasonic","EVQ-P7L01P"
"C15","22µF","Capacitor_SMD:C_0805_2012Metric","","Murata","GRM21BR61A226ME44L"
"C16","22µF","Capacitor_SMD:C_0805_2012Metric","","Murata","GRM21BR61A226ME44L"
"R3","120R","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805JR-07120RL"
"D1","BLUE","LED_SMD:LED_0402_1005Metric","lib/datasheets/150040BS73220.pdf","Wurth Elektronik","150040BS73220"
"J3","USB_B_Mini","Connector_USB:USB_Mini-B_Wuerth_65100516121_Horizontal","lib/datasheets/65100516121.pdf","Wurth Elektronik","65100516121"
"U4","MCP73831-2-OT","Package_TO_SOT_SMD:SOT-23-5","lib/datasheets/MCP73831.pdf","Microchip Technology","MCP73831T-2ACI/OT"
"U5","MIC5201","Package_TO_SOT_SMD:SOT-223-3_TabPin2","lib/datasheets/MIC5201.pdf","Microchip Technology","MIC5201-3.3YS-TR"
"U6","TPS61230A","TPS61230A:TPS61230A","lib/datasheets/TPS61230A.pdf","Texas Instruments","TPS61230ARNSR"
"C25","1µF","Capacitor_SMD:C_0805_2012Metric","","amsung Electro-Mechanics","CL21B105KOFNNNG"
"R6","316k","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805FR-07316KL"
"R10","95k3","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805FR-0795K3L"
"R9","1k","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805JR-071KL"
"L3","1µH","Inductor_SMD:L_Wuerth_MAPI-4020","lib/datasheets/74438356010.pdf","Wurth Elektronik","74438356010"
"C21","10nF","Capacitor_SMD:C_0805_2012Metric","","Kemet","C0805C103K1RAC7210"
"SW2","SW_SPDT","Button_Switch_SMD:SW_SPDT_PCM12","lib/datasheets/MSS34.pdf","Diptronics","MSS3-V-T/R"
"R11","100k","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805FR-07100KL"
"R13","100k","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805FR-07100KL"
"R8","2k","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805JR-072KL"
"R7","120R","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805JR-07120RL"
"R5","120R","Resistor_SMD:R_0805_2012Metric","","Yageo","RC0805JR-07120RL"
